Concurso,Cargo,Grupo,Conhecimento,Erro,Media_Tecnica,Media_Aleatoria,Media_Base,Ganho_Bruto,Eficiencia_Media
TST_23,Cargo 2,MULTIPLA_5,0.9,0.1,30.492,30.799999999999503,30.0,0.492,0.123
TST_23,Cargo 2,MULTIPLA_5,0.9,0.2,27.516,27.799999999999528,27.0,0.516,0.129
TST_23,Cargo 3,MULTIPLA_5,0.5,0.05,21.806,23.0,19.0,2.806,0.14029999999999965
TST_23,Cargo 3,MULTIPLA_5,0.5,0.1,20.778,22.0,18.0,2.778,0.1388999999999999
TST_23,Cargo 3,MULTIPLA_5,0.5,0.2,18.821,20.0,16.0,2.821,0.14104999999999981
TST_23,Cargo 3,MULTIPLA_5,0.6,0.05,24.177,25.200000000000447,22.0,2.177,0.1360625
TST_23,Cargo 3,MULTIPLA_5,0.6,0.1,23.258,24.200000000000436,21.0,2.258,0.141125
TST_23,Cargo 3,MULTIPLA_5,0.6,0.2,21.259,22.20000000000041,19.0,2.259,0.1411875
TST_23,Cargo 3,MULTIPLA_5,0.7,0.05,27.606,28.400000000000468,26.0,1.606,0.13383333333333317
TST_23,Cargo 3,MULTIPLA_5,0.7,0.1,26.562,27.400000000000432,25.0,1.562,0.13016666666666632
TST_23,Cargo 3,MULTIPLA_5,0.7,0.2,23.705,24.400000000000304,22.0,1.705,0.14208333333333312
TST_23,Cargo 3,MULTIPLA_5,0.8,0.05,30.977,31.599999999999433,30.0,0.977,0.122125
TST_23,Cargo 3,MULTIPLA_5,0.8,0.1,29.067,29.59999999999949,28.0,1.067,0.133375
TST_23,Cargo 3,MULTIPLA_5,0.8,0.2,26.112,26.5999999999996,25.0,1.112,0.139
TST_23,Cargo 3,MULTIPLA_5,0.9,0.05,34.458,34.799999999999685,34.0,0.458,0.1145
TST_23,Cargo 3,MULTIPLA_5,0.9,0.1,32.511,32.79999999999949,32.0,0.511,0.12775
TST_23,Cargo 3,MULTIPLA_5,0.9,0.2,28.562,28.799999999999518,28.0,0.562,0.1405
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.5,0.05,56.874,55.599999999999056,46.0,10.874,0.2265416666666664
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.5,0.1,54.603,53.59999999999907,44.0,10.603,0.22089583333333304
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.5,0.2,49.609,48.59999999999913,39.0,10.609,0.2210208333333332
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.6,0.05,63.949,62.80000000000113,55.0,8.949,0.22946153846153844
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.6,0.1,60.825,59.800000000001035,52.0,8.825,0.22628205128205142
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.6,0.2,54.582,53.80000000000082,46.0,8.582,0.22005128205128227
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.7,0.05,70.739,69.80000000000129,64.0,6.739,0.23237931034482823
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.7,0.1,67.671,66.80000000000122,61.0,6.671,0.23003448275862107
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.7,0.2,60.455,59.800000000001035,54.0,6.455,0.22258620689655195
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.8,0.05,77.785,77.0,73.0,4.785,0.23924999999999982
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.8,0.1,73.729,73.0,69.0,4.729,0.23645000000000008
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.8,0.2,65.518,65.0,61.0,4.518,0.22590000000000038
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.9,0.05,84.432,84.0,82.0,2.432,0.24319999999999942
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.9,0.1,80.357,80.0,78.0,2.357,0.23569999999999905
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.9,0.2,71.333,71.0,69.0,2.333,0.23329999999999945
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.5,0.05,52.452,55.599999999999056,46.0,6.452,0.13441666666666657
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.5,0.1,50.692,53.59999999999907,44.0,6.692,0.13941666666666647
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.5,0.2,46.343,48.59999999999913,39.0,7.343,0.15297916666666672
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.6,0.05,59.835,62.80000000000113,55.0,4.835,0.12397435897435981
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.6,0.1,57.049,59.800000000001035,52.0,5.049,0.12946153846153927
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.6,0.2,51.65,53.80000000000082,46.0,5.65,0.1448717948717959
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.7,0.05,67.168,69.80000000000129,64.0,3.168,0.1092413793103447
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.7,0.1,64.511,66.80000000000122,61.0,3.511,0.12106896551724107
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.7,0.2,58.137,59.800000000001035,54.0,4.137,0.14265517241379255
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.8,0.05,75.186,77.0,73.0,2.186,0.10929999999999972
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.8,0.1,71.262,73.0,69.0,2.262,0.11309999999999966
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.8,0.2,63.494,65.0,61.0,2.494,0.12469999999999959
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.9,0.05,83.016,84.0,82.0,1.016,0.10159999999999966
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.9,0.1,79.101,80.0,78.0,1.101,0.11009999999999961
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.9,0.2,70.276,71.0,69.0,1.276,0.1275999999999996
PC_GO_16,Cargo 2,MULTIPLA_5,0.5,0.05,21.677,23.0,19.0,2.677,0.13384999999999908
PC_GO_16,Cargo 2,MULTIPLA_5,0.5,0.1,20.921,22.0,18.0,2.921,0.1460499999999995
PC_GO_16,Cargo 2,MULTIPLA_5,0.5,0.2,19.11,20.0,16.0,3.11,0.15549999999999953
PC_GO_16,Cargo 2,MULTIPLA_5,0.6,0.05,24.042,25.200000000000447,22.0,2.042,0.127625
PC_GO_16,Cargo 2,MULTIPLA_5,0.6,0.1,23.257,24.200000000000436,21.0,2.257,0.1410625
PC_GO_16,Cargo 2,MULTIPLA_5,0.6,0.2,21.428,22.20000000000041,19.0,2.428,0.15175
PC_GO_16,Cargo 2,MULTIPLA_5,0.7,0.05,27.508,28.400000000000468,26.0,1.508,0.1256666666666663
PC_GO_16,Cargo 2,MULTIPLA_5,0.7,0.1,26.527,27.400000000000432,25.0,1.527,0.12724999999999967
PC_GO_16,Cargo 2,MULTIPLA_5,0.7,0.2,23.66,24.400000000000304,22.0,1.66,0.13833333333333311
PC_GO_16,Cargo 2,MULTIPLA_5,0.8,0.05,30.86,31.599999999999433,30.0,0.86,0.1075
PC_GO_16,Cargo 2,MULTIPLA_5,0.8,0.1,28.981,29.59999999999949,28.0,0.981,0.122625
PC_GO_16,Cargo 2,MULTIPLA_5,0.8,0.2,26.065,26.5999999999996,25.0,1.065,0.133125
PC_GO_16,Cargo 2,MULTIPLA_5,0.9,0.05,34.373,34.799999999999685,34.0,0.373,0.09325
PC_GO_16,Cargo 2,MULTIPLA_5,0.9,0.1,32.457,32.79999999999949,32.0,0.457,0.11425
PC_GO_16,Cargo 2,MULTIPLA_5,0.9,0.2,28.546,28.799999999999518,28.0,0.546,0.1365
PC_GO_16,Cargo 1,MULTIPLA_5,0.5,0.05,23.453,23.0,19.0,4.453,0.22265000000000024
PC_GO_16,Cargo 1,MULTIPLA_5,0.5,0.1,22.479,22.0,18.0,4.479,0.2239499999999999
PC_GO_16,Cargo 1,MULTIPLA_5,0.5,0.2,20.451,20.0,16.0,4.451,0.22255000000000025
PC_GO_16,Cargo 1,MULTIPLA_5,0.6,0.05,25.61,25.200000000000447,22.0,3.61,0.225625
