Concurso,Cargo,Grupo,Conhecimento,Erro,Media_Tecnica,Media_Aleatoria,Ganho_Bruto,Ganho_Percentual,Eficiencia_Media
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.5,0.05,58.644,55.0,3.6439999999999984,0.06176271186440675,0.5308813559322056
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.5,0.1,52.17,49.0,3.1700000000000017,0.05372881355932206,0.5268644067796624
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.5,0.2,38.886,37.0,1.8860000000000028,0.0319661016949153,0.5159830508474579
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.6,0.05,67.062,64.0,3.0619999999999976,0.06379166666666662,0.5318958333333333
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.6,0.1,58.564,56.0,2.564,0.05341666666666667,0.5267083333333329
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.6,0.2,43.64,42.0,1.6400000000000006,0.03416666666666668,0.5170833333333331
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.7,0.05,76.862,74.0,2.8619999999999948,0.07949999999999985,0.5397499999999975
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.7,0.1,68.006,66.0,2.0060000000000002,0.05572222222222223,0.5278611111111093
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.7,0.2,51.436,50.0,1.436,0.03988888888888889,0.5199444444444435
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.8,0.05,88.366,86.0,2.3659999999999997,0.09858333333333331,0.5492916666666657
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.8,0.1,77.798,76.0,1.7980000000000018,0.07491666666666674,0.5374583333333337
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.8,0.2,59.172,58.0,1.171999999999997,0.04883333333333321,0.5244166666666664
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.9,0.05,97.572,96.0,1.5720000000000027,0.13100000000000023,0.5655
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.9,0.1,86.834,86.0,0.8340000000000032,0.06950000000000027,0.5347499999999998
PREF_CACHOEIRO_24_PROCURADOR,Cargo 1,CERTO_ERRADO,0.9,0.2,64.676,64.0,0.6760000000000019,0.05633333333333349,0.5281666666666667
TST_23,Cargo 1,MULTIPLA_5,0.5,0.05,19.914,21.799999999999596,1.9140000000000015,0.10073684210526324,0.10073684210526437
TST_23,Cargo 1,MULTIPLA_5,0.5,0.1,19.016,20.79999999999961,2.0159999999999982,0.10610526315789465,0.10610526315789595
TST_23,Cargo 1,MULTIPLA_5,0.5,0.2,17.239,18.799999999999645,2.2390000000000008,0.11784210526315793,0.11784210526315908
TST_23,Cargo 1,MULTIPLA_5,0.6,0.05,22.48,24.0,1.4800000000000004,0.0986666666666667,0.09866666666666725
TST_23,Cargo 1,MULTIPLA_5,0.6,0.1,21.58,23.0,1.5799999999999983,0.10533333333333322,0.10533333333333394
