Concurso,Cargo,Grupo,Conhecimento,Erro,Media_Tecnica,Media_Aleatoria,Ganho_Medio,Eficiencia_Media
TST_23,Cargo 2,MULTIPLA_5,0.9,0.2,27.572,27.799999999999528,-0.22799999999952705,0.143
TST_23,Cargo 3,MULTIPLA_5,0.5,0.05,21.659,23.0,-1.341,0.13294999999999946
TST_23,Cargo 3,MULTIPLA_5,0.5,0.1,20.736,22.0,-1.264,0.1367999999999995
TST_23,Cargo 3,MULTIPLA_5,0.5,0.2,18.831,20.0,-1.169,0.14155000000000004
TST_23,Cargo 3,MULTIPLA_5,0.6,0.05,24.138,25.200000000000447,-1.0620000000004475,0.133625
TST_23,Cargo 3,MULTIPLA_5,0.6,0.1,23.202,24.200000000000436,-0.9980000000004365,0.137625
TST_23,Cargo 3,MULTIPLA_5,0.6,0.2,21.222,22.20000000000041,-0.9780000000004111,0.138875
TST_23,Cargo 3,MULTIPLA_5,0.7,0.05,27.583,28.400000000000468,-0.8170000000004694,0.13191666666666632
TST_23,Cargo 3,MULTIPLA_5,0.7,0.1,26.592,27.400000000000432,-0.8080000000004329,0.13266666666666654
TST_23,Cargo 3,MULTIPLA_5,0.7,0.2,23.686,24.400000000000304,-0.7140000000003056,0.1405000000000001
TST_23,Cargo 3,MULTIPLA_5,0.8,0.05,30.973,31.599999999999433,-0.6269999999994325,0.121625
TST_23,Cargo 3,MULTIPLA_5,0.8,0.1,29.066,29.59999999999949,-0.5339999999994907,0.13325
TST_23,Cargo 3,MULTIPLA_5,0.8,0.2,26.056,26.5999999999996,-0.5439999999995998,0.132
TST_23,Cargo 3,MULTIPLA_5,0.9,0.05,34.469,34.799999999999685,-0.33099999999968716,0.11725
TST_23,Cargo 3,MULTIPLA_5,0.9,0.1,32.527,32.79999999999949,-0.2729999999994907,0.13175
TST_23,Cargo 3,MULTIPLA_5,0.9,0.2,28.544,28.799999999999518,-0.25599999999951617,0.136
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.5,0.05,56.752,55.599999999999056,1.1520000000009458,0.22400000000000012
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.5,0.1,54.793,53.59999999999907,1.1930000000009313,0.22485416666666685
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.5,0.2,49.517,48.59999999999913,0.9170000000008731,0.21910416666666657
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.6,0.05,63.831,62.80000000000113,1.0309999999988722,0.2264358974358974
