Concurso,Cargo,Grupo,Conhecimento,Erro,Media_Tecnica,Media_Aleatoria,Ganho_Medio
TST_23,Cargo 3,MULTIPLA_5,0.7,0.05,27.58,28.400000000000468,-0.8200000000004694
TST_23,Cargo 3,MULTIPLA_5,0.7,0.1,26.626,27.400000000000432,-0.7740000000004329
TST_23,Cargo 3,MULTIPLA_5,0.7,0.2,23.68,24.400000000000304,-0.7200000000003056
TST_23,Cargo 3,MULTIPLA_5,0.8,0.05,31.06,31.599999999999433,-0.5399999999994325
TST_23,Cargo 3,MULTIPLA_5,0.8,0.1,29.107,29.59999999999949,-0.4929999999994907
TST_23,Cargo 3,MULTIPLA_5,0.8,0.2,26.093,26.5999999999996,-0.5069999999995998
TST_23,Cargo 3,MULTIPLA_5,0.9,0.05,34.456,34.799999999999685,-0.3439999999996871
TST_23,Cargo 3,MULTIPLA_5,0.9,0.1,32.531,32.79999999999949,-0.2689999999994907
TST_23,Cargo 3,MULTIPLA_5,0.9,0.2,28.524,28.799999999999518,-0.27599999999951613
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.5,0.05,56.765,55.599999999999056,1.165000000000946
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.5,0.1,54.751,53.59999999999907,1.1510000000009313
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.5,0.2,49.602,48.59999999999913,1.002000000000873
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.6,0.05,63.977,62.80000000000113,1.1769999999988723
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.6,0.1,60.808,59.800000000001035,1.0079999999989668
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.6,0.2,54.598,53.80000000000082,0.7979999999991778
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.7,0.05,70.729,69.80000000000129,0.9289999999987049
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.7,0.1,67.625,66.80000000000122,0.8249999999987776
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.7,0.2,60.47,59.800000000001035,0.6699999999989669
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.8,0.05,77.729,77.0,0.729
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.8,0.1,73.708,73.0,0.708
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.8,0.2,65.457,65.0,0.457
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.9,0.05,84.371,84.0,0.371
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.9,0.1,80.328,80.0,0.328
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.9,0.2,71.346,71.0,0.346
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.5,0.05,52.269,55.599999999999056,-3.330999999999054
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.5,0.1,50.642,53.59999999999907,-2.9579999999990685
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.5,0.2,46.56,48.59999999999913,-2.039999999999127
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.6,0.05,59.797,62.80000000000113,-3.0030000000011277
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.6,0.1,56.969,59.800000000001035,-2.8310000000010334
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.6,0.2,51.625,53.80000000000082,-2.1750000000008223
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.7,0.05,67.253,69.80000000000129,-2.547000000001295
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.7,0.1,64.439,66.80000000000122,-2.3610000000012223
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.7,0.2,57.978,59.800000000001035,-1.8220000000010332
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.8,0.05,75.132,77.0,-1.868
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.8,0.1,71.301,73.0,-1.699
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.8,0.2,63.571,65.0,-1.429
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.9,0.05,83.027,84.0,-0.973
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.9,0.1,79.079,80.0,-0.921
TCU_15_PROCURADOR,Cargo 1,MULTIPLA_5,0.9,0.2,70.275,71.0,-0.725
PC_GO_16,Cargo 2,MULTIPLA_5,0.5,0.05,21.783,23.0,-1.217
PC_GO_16,Cargo 2,MULTIPLA_5,0.5,0.1,20.846,22.0,-1.154
PC_GO_16,Cargo 2,MULTIPLA_5,0.5,0.2,19.082,20.0,-0.918
PC_GO_16,Cargo 2,MULTIPLA_5,0.6,0.05,24.17,25.200000000000447,-1.0300000000004474
PC_GO_16,Cargo 2,MULTIPLA_5,0.6,0.1,23.172,24.200000000000436,-1.0280000000004366
PC_GO_16,Cargo 2,MULTIPLA_5,0.6,0.2,21.317,22.20000000000041,-0.8830000000004111
PC_GO_16,Cargo 2,MULTIPLA_5,0.7,0.05,27.438,28.400000000000468,-0.9620000000004693
PC_GO_16,Cargo 2,MULTIPLA_5,0.7,0.1,26.537,27.400000000000432,-0.8630000000004329
PC_GO_16,Cargo 2,MULTIPLA_5,0.7,0.2,23.75,24.400000000000304,-0.6500000000003056
PC_GO_16,Cargo 2,MULTIPLA_5,0.8,0.05,30.827,31.599999999999433,-0.7729999999994325
PC_GO_16,Cargo 2,MULTIPLA_5,0.8,0.1,28.958,29.59999999999949,-0.6419999999994906
PC_GO_16,Cargo 2,MULTIPLA_5,0.8,0.2,26.106,26.5999999999996,-0.4939999999995998
PC_GO_16,Cargo 2,MULTIPLA_5,0.9,0.05,34.34,34.799999999999685,-0.45999999999968716
PC_GO_16,Cargo 2,MULTIPLA_5,0.9,0.1,32.455,32.79999999999949,-0.34499999999949066
PC_GO_16,Cargo 2,MULTIPLA_5,0.9,0.2,28.518,28.799999999999518,-0.28199999999951614
PC_GO_16,Cargo 1,MULTIPLA_5,0.5,0.05,23.581,23.0,0.581
PC_GO_16,Cargo 1,MULTIPLA_5,0.5,0.1,22.447,22.0,0.447
PC_GO_16,Cargo 1,MULTIPLA_5,0.5,0.2,20.415,20.0,0.415
PC_GO_16,Cargo 1,MULTIPLA_5,0.6,0.05,25.636,25.200000000000447,0.4359999999995525
PC_GO_16,Cargo 1,MULTIPLA_5,0.6,0.1,24.611,24.200000000000436,0.41099999999956344
PC_GO_16,Cargo 1,MULTIPLA_5,0.6,0.2,22.656,22.20000000000041,0.4559999999995889
PC_GO_16,Cargo 1,MULTIPLA_5,0.7,0.05,28.632,28.400000000000468,0.2319999999995307
PC_GO_16,Cargo 1,MULTIPLA_5,0.7,0.1,27.696,27.400000000000432,0.29599999999956705
PC_GO_16,Cargo 1,MULTIPLA_5,0.7,0.2,24.689,24.400000000000304,0.2889999999996944
PC_GO_16,Cargo 1,MULTIPLA_5,0.8,0.05,31.713,31.599999999999433,0.11300000000056752
PC_GO_16,Cargo 1,MULTIPLA_5,0.8,0.1,29.782,29.59999999999949,0.1820000000005093
PC_GO_16,Cargo 1,MULTIPLA_5,0.8,0.2,26.829,26.5999999999996,0.2290000000004002
PC_GO_16,Cargo 1,MULTIPLA_5,0.9,0.05,34.771,34.799999999999685,-0.028999999999687134
PC_GO_16,Cargo 1,MULTIPLA_5,0.9,0.1,32.906,32.79999999999949,0.10600000000050931
PC_GO_16,Cargo 1,MULTIPLA_5,0.9,0.2,28.882,28.799999999999518,0.08200000000048385
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.5,0.05,57.664,54.0,3.664
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.5,0.1,51.056,48.0,3.056
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.5,0.2,38.144,36.0,2.144
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.6,0.05,66.632,63.0,3.632
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.6,0.1,59.606,57.0,2.606
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.6,0.2,44.944,43.0,1.944
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.7,0.05,75.922,73.0,2.922
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.7,0.1,67.444,65.0,2.444
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.7,0.2,50.752,49.0,1.752
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.8,0.05,86.604,84.0,2.604
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.8,0.1,75.778,74.0,1.778
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.8,0.2,56.94,56.0,0.94
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.9,0.05,95.498,94.0,1.498
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.9,0.1,85.158,84.0,1.158
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.9,0.2,64.76,64.0,0.76
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.5,0.05,51.362,50.8000000000007,0.5619999999993015
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.5,0.1,49.238,48.80000000000061,0.4379999999993888
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.5,0.2,45.36,44.80000000000041,0.5599999999995926
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.6,0.05,57.582,57.199999999999044,0.38200000000095313
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.6,0.1,54.647,54.19999999999916,0.447000000000844
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.6,0.2,49.54,49.19999999999938,0.34000000000062575
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.7,0.05,63.492,63.400000000001015,0.09199999999898864
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.7,0.1,60.74,60.400000000000986,0.3399999999990105
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.7,0.2,54.734,54.40000000000094,0.3339999999990614
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.8,0.05,70.681,70.59999999999947,0.08100000000053842
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.8,0.1,66.798,66.59999999999908,0.19800000000091678
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.8,0.2,59.849,59.59999999999902,0.24900000000098224
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.9,0.05,77.644,77.80000000000148,-0.15600000000146974
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.9,0.1,73.816,73.80000000000138,0.015999999998617568
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.9,0.2,65.93,65.8000000000012,0.1299999999987922
AL_CE_20,Cargo 1,MULTIPLA_5,0.5,0.05,34.369,32.79999999999949,1.5690000000005093
AL_CE_20,Cargo 1,MULTIPLA_5,0.5,0.1,33.266,31.799999999999493,1.4660000000005058
AL_CE_20,Cargo 1,MULTIPLA_5,0.5,0.2,29.954,28.799999999999518,1.1540000000004837
AL_CE_20,Cargo 1,MULTIPLA_5,0.6,0.05,39.102,37.59999999999929,1.5020000000007057
AL_CE_20,Cargo 1,MULTIPLA_5,0.6,0.1,36.989,35.59999999999934,1.3890000000006621
AL_CE_20,Cargo 1,MULTIPLA_5,0.6,0.2,33.64,32.599999999999405,1.0400000000005967
AL_CE_20,Cargo 1,MULTIPLA_5,0.7,0.05,43.066,41.59999999999922,1.4660000000007785
AL_CE_20,Cargo 1,MULTIPLA_5,0.7,0.1,40.785,39.59999999999925,1.1850000000007495
AL_CE_20,Cargo 1,MULTIPLA_5,0.7,0.2,36.552,35.59999999999934,0.9520000000006621
AL_CE_20,Cargo 1,MULTIPLA_5,0.8,0.05,46.504,45.40000000000084,1.1039999999991632
AL_CE_20,Cargo 1,MULTIPLA_5,0.8,0.1,44.357,43.40000000000081,0.9569999999991924
AL_CE_20,Cargo 1,MULTIPLA_5,0.8,0.2,39.021,38.40000000000072,0.6209999999992797
AL_CE_20,Cargo 1,MULTIPLA_5,0.9,0.05,50.879,50.19999999999932,0.6790000000006766
AL_CE_20,Cargo 1,MULTIPLA_5,0.9,0.1,47.746,47.19999999999947,0.5460000000005312
AL_CE_20,Cargo 1,MULTIPLA_5,0.9,0.2,42.588,42.19999999999975,0.38800000000025464
AL_CE_20,Cargo 2,MULTIPLA_5,0.5,0.05,22.473,23.0,-0.527
AL_CE_20,Cargo 2,MULTIPLA_5,0.5,0.1,21.623,22.0,-0.377
AL_CE_20,Cargo 2,MULTIPLA_5,0.5,0.2,19.76,20.0,-0.24
AL_CE_20,Cargo 2,MULTIPLA_5,0.6,0.05,25.755,26.200000000000458,-0.44500000000045836
AL_CE_20,Cargo 2,MULTIPLA_5,0.6,0.1,24.755,25.200000000000447,-0.4450000000004475
AL_CE_20,Cargo 2,MULTIPLA_5,0.6,0.2,22.77,23.200000000000426,-0.43000000000042565
AL_CE_20,Cargo 2,MULTIPLA_5,0.7,0.05,28.911,29.400000000000503,-0.48900000000050203
AL_CE_20,Cargo 2,MULTIPLA_5,0.7,0.1,27.937,28.400000000000468,-0.4630000000004693
AL_CE_20,Cargo 2,MULTIPLA_5,0.7,0.2,25.168,25.40000000000035,-0.23200000000034923
AL_CE_20,Cargo 2,MULTIPLA_5,0.8,0.05,32.182,32.599999999999405,-0.41799999999940335
