simulacao_id,letra_chutada,nota_liquida,acertos,erros
317,C,53,74,21
318,C,41,68,27
319,C,43,69,26
320,C,43,69,26
321,E,53,74,21
322,C,47,71,24
323,C,37,66,29
324,E,51,73,22
325,C,37,66,29
326,C,51,73,22
327,E,51,73,22
328,C,47,71,24
329,E,53,74,21
330,C,37,66,29
331,E,57,76,19
332,C,51,73,22
333,C,37,66,29
334,C,45,70,25
335,C,47,71,24
336,C,51,73,22
337,E,53,74,21
338,C,45,70,25
339,E,51,73,22
340,C,45,70,25
341,C,43,69,26
342,C,45,70,25
343,C,41,68,27
344,E,55,75,20
345,E,53,74,21
346,C,41,68,27
347,C,43,69,26
348,E,53,74,21
349,C,45,70,25
350,C,45,70,25
351,C,45,70,25
352,C,47,71,24
353,C,41,68,27
354,C,41,68,27
355,C,43,69,26
356,E,51,73,22
357,E,57,76,19
358,C,51,73,22
359,C,41,68,27
360,C,47,71,24
361,C,41,68,27
362,C,43,69,26
363,C,49,72,23
364,C,45,70,25
365,E,57,76,19
366,C,37,66,29
367,E,57,76,19
368,E,55,75,20
369,C,55,75,20
370,C,41,68,27
371,E,53,74,21
372,C,39,67,28
373,C,43,69,26
374,C,39,67,28
375,E,53,74,21
376,C,43,69,26
377,E,59,77,18
378,C,47,71,24
379,E,59,77,18
380,C,47,71,24
381,C,47,71,24
382,C,43,69,26
383,C,47,71,24
384,C,41,68,27
385,C,43,69,26
386,C,45,70,25
387,C,45,70,25
388,C,45,70,25
389,C,37,66,29
390,E,57,76,19
391,C,43,69,26
392,C,47,71,24
393,C,41,68,27
394,E,55,75,20
395,E,47,71,24
396,C,39,67,28
397,C,51,73,22
398,E,55,75,20
399,C,47,71,24
400,C,45,70,25
401,C,39,67,28
402,C,39,67,28
403,E,57,76,19
404,C,39,67,28
405,C,37,66,29
406,E,47,71,24
407,C,49,72,23
408,C,49,72,23
409,C,45,70,25
410,C,45,70,25
411,C,45,70,25
412,C,37,66,29
413,C,47,71,24
414,C,47,71,24
415,C,45,70,25
416,C,45,70,25
417,C,39,67,28
418,C,43,69,26
419,C,43,69,26
420,C,41,68,27
421,C,49,72,23
422,C,47,71,24
423,C,47,71,24
424,C,43,69,26
425,C,43,69,26
426,C,45,70,25
427,C,45,70,25
428,C,51,73,22
429,C,47,71,24
430,C,47,71,24
431,C,55,75,20
432,C,47,71,24
433,C,45,70,25
434,C,47,71,24
435,C,47,71,24
436,C,45,70,25
437,E,55,75,20
438,C,55,75,20
439,C,41,68,27
440,C,41,68,27
441,C,43,69,26
442,C,45,70,25
443,E,59,77,18
444,C,45,70,25
445,C,45,70,25
446,C,41,68,27
447,C,47,71,24
448,C,45,70,25
449,C,43,69,26
450,C,45,70,25
451,C,45,70,25
452,C,41,68,27
453,C,41,68,27
454,C,45,70,25
455,C,39,67,28
456,E,47,71,24
457,C,43,69,26
458,C,45,70,25
459,C,41,68,27
460,C,47,71,24
461,E,51,73,22
462,C,49,72,23
463,E,61,78,17
464,C,45,70,25
465,C,43,69,26
466,C,45,70,25
467,C,45,70,25
468,C,51,73,22
469,E,55,75,20
470,C,41,68,27
471,C,43,69,26
472,E,57,76,19
473,C,39,67,28
474,C,45,70,25
475,C,43,69,26
476,C,47,71,24
477,C,39,67,28
478,C,43,69,26
479,C,45,70,25
480,C,51,73,22
481,E,53,74,21
482,C,43,69,26
483,C,39,67,28
484,C,53,74,21
485,C,45,70,25
486,C,43,69,26
487,C,35,65,30
488,C,53,74,21
489,C,51,73,22
490,E,61,78,17
491,C,49,72,23
492,C,49,72,23
493,C,43,69,26
494,C,45,70,25
495,E,57,76,19
496,E,61,78,17
497,C,43,69,26
498,E,55,75,20
499,E,51,73,22
500,E,51,73,22
501,C,45,70,25
502,E,55,75,20
503,C,41,68,27
504,C,47,71,24
505,C,47,71,24
506,C,45,70,25
507,C,49,72,23
508,C,47,71,24
509,C,47,71,24
510,E,53,74,21
511,C,49,72,23
512,C,47,71,24
513,C,47,71,24
514,C,49,72,23
515,C,43,69,26
516,C,43,69,26
517,C,45,70,25
518,E,57,76,19
519,C,47,71,24
520,C,47,71,24
521,C,39,67,28
522,C,43,69,26
523,C,45,70,25
524,C,45,70,25
525,C,35,65,30
526,C,45,70,25
527,E,61,78,17
528,C,43,69,26
529,C,45,70,25
530,C,47,71,24
531,C,49,72,23
532,C,43,69,26
533,C,37,66,29
534,C,43,69,26
535,E,55,75,20
536,C,47,71,24
537,C,43,69,26
538,E,57,76,19
539,C,41,68,27
540,E,55,75,20
541,C,47,71,24
542,C,41,68,27
543,C,49,72,23
544,C,47,71,24
545,C,47,71,24
546,C,51,73,22
547,C,43,69,26
548,E,55,75,20
549,E,53,74,21
550,C,49,72,23
551,C,41,68,27
552,C,39,67,28
553,E,55,75,20
554,C,43,69,26
555,C,51,73,22
556,C,41,68,27
557,C,45,70,25
558,C,47,71,24
559,C,35,65,30
560,C,43,69,26
561,C,41,68,27
562,C,41,68,27
563,E,51,73,22
564,C,45,70,25
565,C,45,70,25
566,C,45,70,25
567,E,51,73,22
568,C,43,69,26
569,C,47,71,24
570,C,51,73,22
571,C,51,73,22
572,E,59,77,18
573,E,53,74,21
574,C,45,70,25
575,C,47,71,24
576,C,39,67,28
577,C,51,73,22
578,C,43,69,26
579,E,53,74,21
580,C,45,70,25
581,C,45,70,25
582,C,45,70,25
583,C,45,70,25
584,E,55,75,20
585,E,55,75,20
586,C,47,71,24
587,C,55,75,20
588,E,55,75,20
589,C,51,73,22
590,C,51,73,22
591,C,41,68,27
592,E,55,75,20
593,C,49,72,23
594,E,55,75,20
595,C,45,70,25
596,C,37,66,29
597,C,39,67,28
598,E,57,76,19
599,C,47,71,24
600,E,51,73,22
601,C,47,71,24
602,C,47,71,24
603,C,37,66,29
604,C,51,73,22
605,C,47,71,24
606,E,55,75,20
607,C,41,68,27
608,C,41,68,27
609,E,55,75,20
610,C,49,72,23
611,C,47,71,24
612,C,39,67,28
613,C,53,74,21
614,C,41,68,27
615,E,55,75,20
616,C,45,70,25
617,C,47,71,24
618,C,47,71,24
619,C,53,74,21
620,C,47,71,24
621,E,65,80,15
622,C,39,67,28
623,C,45,70,25
624,C,49,72,23
625,E,53,74,21
626,E,59,77,18
627,C,39,67,28
628,E,51,73,22
629,E,61,78,17
630,C,39,67,28
631,C,39,67,28
632,C,43,69,26
633,E,53,74,21
634,C,45,70,25
635,E,59,77,18
636,E,59,77,18
637,C,39,67,28
638,E,55,75,20
639,C,43,69,26
640,E,61,78,17
641,C,41,68,27
642,C,51,73,22
643,E,53,74,21
644,C,43,69,26
645,C,45,70,25
646,E,53,74,21
647,E,55,75,20
648,C,47,71,24
649,C,41,68,27
650,C,45,70,25
651,E,57,76,19
652,E,51,73,22
653,C,41,68,27
654,C,45,70,25
655,C,37,66,29
656,E,59,77,18
