Grupo,Conhecimento_Pct,Erro_Pct,Nota_Media_Final,Ganho_Medio
MULTIPLA_5,0.5,0.05,12.778,2.778
MULTIPLA_5,0.5,0.05,11.665,2.665
MULTIPLA_5,0.5,0.05,10.504,1.504
MULTIPLA_5,0.5,0.05,10.488,1.488
MULTIPLA_5,0.5,0.05,12.613,2.613
MULTIPLA_5,0.5,0.05,56.108,11.108
MULTIPLA_5,0.5,0.05,35.043,7.043
CERTO_ERRADO,0.5,0.05,18.968,0.968
CERTO_ERRADO,0.5,0.05,28.152,2.152
CERTO_ERRADO,0.5,0.05,48.334,3.334
CERTO_ERRADO,0.5,0.05,28.198,2.198
CERTO_ERRADO,0.5,0.05,29.65,2.65
CERTO_ERRADO,0.5,0.05,17.702,-1.298
CERTO_ERRADO,0.5,0.05,29.742,2.742
CERTO_ERRADO,0.5,0.05,22.362,-4.638
CERTO_ERRADO,0.5,0.05,22.562,-5.438
CERTO_ERRADO,0.5,0.05,27.146,1.146
CERTO_ERRADO,0.5,0.05,29.602,2.602
CERTO_ERRADO,0.5,0.05,25.718,-0.282
CERTO_ERRADO,0.5,0.05,28.798,1.798
CERTO_ERRADO,0.5,0.05,30.814,2.814
CERTO_ERRADO,0.5,0.05,30.416,2.416
CERTO_ERRADO,0.5,0.05,29.2,2.2
CERTO_ERRADO,0.5,0.05,29.682,2.682
CERTO_ERRADO,0.5,0.05,26.206,-0.794
CERTO_ERRADO,0.5,0.05,28.808,1.808
CERTO_ERRADO,0.5,0.05,28.74,0.74
MULTIPLA_4,0.5,0.05,47.172,9.172
MULTIPLA_5,0.5,0.05,33.692,6.692
MULTIPLA_5,0.5,0.05,24.248,5.248
MULTIPLA_5,0.5,0.05,23.34,4.34
MULTIPLA_5,0.5,0.05,22.334,4.334
CERTO_ERRADO,0.5,0.05,47.202,3.202
CERTO_ERRADO,0.5,0.05,44.972,0.972
CERTO_ERRADO,0.5,0.05,26.79,-0.21
CERTO_ERRADO,0.5,0.05,29.578,2.578
CERTO_ERRADO,0.5,0.05,29.718,2.718
CERTO_ERRADO,0.5,0.05,30.602,2.602
CERTO_ERRADO,0.5,0.05,30.532,2.532
CERTO_ERRADO,0.5,0.05,22.326,-4.674
CERTO_ERRADO,0.5,0.05,28.73,0.73
CERTO_ERRADO,0.5,0.05,30.684,2.684
CERTO_ERRADO,0.5,0.05,29.834,1.834
CERTO_ERRADO,0.5,0.05,29.818,1.818
CERTO_ERRADO,0.5,0.05,29.514,2.514
CERTO_ERRADO,0.5,0.05,29.262,2.262
MULTIPLA_4,0.5,0.05,55.452,12.452
MULTIPLA_5,0.5,0.05,43.727,7.727
MULTIPLA_5,0.5,0.05,30.789,3.789
CERTO_ERRADO,0.5,0.05,45.482,0.482
MULTIPLA_4,0.5,0.05,29.759,6.759
MULTIPLA_5,0.5,0.05,54.322,9.322
MULTIPLA_5,0.5,0.05,30.498,4.498
MULTIPLA_5,0.5,0.05,32.35,5.35
MULTIPLA_5,0.5,0.05,34.273,6.273
MULTIPLA_5,0.5,0.05,31.77,3.77
MULTIPLA_5,0.5,0.05,33.473,5.473
MULTIPLA_5,0.5,0.05,45.454,8.454
MULTIPLA_5,0.5,0.05,58.829,10.829
CERTO_ERRADO,0.5,0.05,27.188,0.188
CERTO_ERRADO,0.5,0.05,28.192,1.192
CERTO_ERRADO,0.5,0.05,29.558,1.558
CERTO_ERRADO,0.5,0.05,30.014,2.014
CERTO_ERRADO,0.5,0.05,49.44,3.44
CERTO_ERRADO,0.5,0.05,48.214,3.214
MULTIPLA_4,0.5,0.05,22.803,5.803
MULTIPLA_4,0.5,0.05,8.442,1.442
MULTIPLA_4,0.5,0.05,8.882,1.882
MULTIPLA_4,0.5,0.05,9.372,2.372
MULTIPLA_4,0.5,0.05,9.703,2.703
MULTIPLA_4,0.5,0.05,9.342,2.342
MULTIPLA_4,0.5,0.05,22.849,5.849
MULTIPLA_4,0.5,0.05,9.737,2.737
MULTIPLA_4,0.5,0.05,9.897,2.897
MULTIPLA_4,0.5,0.05,9.526,2.526
MULTIPLA_4,0.5,0.05,9.39,2.39
MULTIPLA_4,0.5,0.05,7.358,1.358
MULTIPLA_4,0.5,0.05,8.07,2.07
MULTIPLA_4,0.5,0.05,9.207,2.207
MULTIPLA_4,0.5,0.05,9.759,2.759
MULTIPLA_4,0.5,0.05,8.359,1.359
