Concurso,Cargo,Grupo,Conhecimento,Erro,Media_Tecnica,Media_Aleatoria,Ganho_Bruto,Ganho_Percentual,Eficiencia_Media
TST_23,Cargo 2,MULTIPLA_5,0.7,0.1,24.555,25.40000000000035,1.5549999999999997,0.1295833333333333,0.12958333333333313
TST_23,Cargo 2,MULTIPLA_5,0.7,0.2,21.647,22.400000000000205,1.6469999999999985,0.13724999999999987,0.13724999999999993
TST_23,Cargo 2,MULTIPLA_5,0.8,0.05,29.033,29.59999999999949,1.0330000000000013,0.12912500000000016,0.129125
TST_23,Cargo 2,MULTIPLA_5,0.8,0.1,28.041,28.599999999999522,1.0410000000000004,0.13012500000000005,0.130125
TST_23,Cargo 2,MULTIPLA_5,0.8,0.2,25.016,25.59999999999964,1.0159999999999982,0.12699999999999978,0.127
TST_23,Cargo 2,MULTIPLA_5,0.9,0.05,32.52,32.79999999999949,0.5200000000000031,0.13000000000000078,0.13
TST_23,Cargo 2,MULTIPLA_5,0.9,0.1,30.504,30.799999999999503,0.5040000000000013,0.12600000000000033,0.126
TST_23,Cargo 2,MULTIPLA_5,0.9,0.2,27.526,27.799999999999528,0.5259999999999998,0.13149999999999995,0.1315
TST_23,Cargo 3,MULTIPLA_5,0.5,0.05,21.79,23.0,2.789999999999999,0.13949999999999996,0.13949999999999965
TST_23,Cargo 3,MULTIPLA_5,0.5,0.1,20.786,22.0,2.7860000000000014,0.13930000000000006,0.13929999999999954
TST_23,Cargo 3,MULTIPLA_5,0.5,0.2,18.835,20.0,2.835000000000001,0.14175000000000004,0.14174999999999985
TST_23,Cargo 3,MULTIPLA_5,0.6,0.05,24.185,25.200000000000447,2.1849999999999987,0.13656249999999992,0.1365625
TST_23,Cargo 3,MULTIPLA_5,0.6,0.1,23.167,24.200000000000436,2.1670000000000016,0.1354375000000001,0.1354375
TST_23,Cargo 3,MULTIPLA_5,0.6,0.2,21.209,22.20000000000041,2.2089999999999996,0.13806249999999998,0.1380625
TST_23,Cargo 3,MULTIPLA_5,0.7,0.05,27.592,28.400000000000468,1.5919999999999987,0.13266666666666657,0.13266666666666643
TST_23,Cargo 3,MULTIPLA_5,0.7,0.1,26.587,27.400000000000432,1.5869999999999997,0.13224999999999998,0.13224999999999984
TST_23,Cargo 3,MULTIPLA_5,0.7,0.2,23.648,24.400000000000304,1.6479999999999997,0.1373333333333333,0.1373333333333333
TST_23,Cargo 3,MULTIPLA_5,0.8,0.05,30.984,31.599999999999433,0.9840000000000018,0.12300000000000022,0.123
TST_23,Cargo 3,MULTIPLA_5,0.8,0.1,29.06,29.59999999999949,1.0599999999999987,0.13249999999999984,0.1325
TST_23,Cargo 3,MULTIPLA_5,0.8,0.2,26.094,26.5999999999996,1.0940000000000012,0.13675000000000015,0.13675
TST_23,Cargo 3,MULTIPLA_5,0.9,0.05,34.502,34.799999999999685,0.5020000000000024,0.1255000000000006,0.1255
TST_23,Cargo 3,MULTIPLA_5,0.9,0.1,32.521,32.79999999999949,0.5210000000000008,0.1302500000000002,0.13025
TST_23,Cargo 3,MULTIPLA_5,0.9,0.2,28.553,28.799999999999518,0.5530000000000008,0.1382500000000002,0.13825
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.5,0.05,56.716,55.599999999999056,10.716000000000001,0.22325000000000003,0.22324999999999992
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.5,0.1,54.628,53.59999999999907,10.628,0.22141666666666668,0.22141666666666668
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.5,0.2,49.464,48.59999999999913,10.463999999999999,0.21799999999999997,0.21800000000000008
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.6,0.05,64.093,62.80000000000113,9.093000000000004,0.23315384615384624,0.23315384615384604
MP_CE_19_PROMOTOR,Cargo 1,MULTIPLA_5,0.6,0.1,60.846,59.800000000001035,8.845999999999997,0.22682051282051274,0.22682051282051283
